ALKALERI,BAUCHI,BAU,+1,FD,Bauchi Hub
ALLOMA,KOGI,LKJ,+2,FH,
ALOR,ANAMBRA,ONA,+1,FC,Onitsha Hub
ALULU-NIKE,ENUGU,ENU,+1,FD,Enugu Hub
AMACHI NSULU,ABIA,ABA,+1,FD,Aba Hub
AMAESE,ANAMBRA,ONA,+1,FD,Onitsha Hub
AMAIFEKE,IMO,ORI,+1,FC,Owerri Hub
AMAIGBO,IMO,ORI,+1,FC,Owerri Hub
AMAIMO,IMO,ORI,+1,FC,Owerri Hub
AMAKOFIA,ENUGU,ENU,+1,FE,Enugu Hub
AMAKU,NASARAWA,LAF,+2,FH,Abuja Hub
AMAKWU,ENUGU,ENU,+1,FE,Enugu Hub
AMANDUGBA,IMO,ORI,+1,FC,Owerri Hub
AMANSEA,ANAMBRA,ONA,+2,FE,Onitsha Hub
AMAOKPALA,ANAMBRA,ONA,+1,FD,Onitsha Hub
AMAOPARA,IMO,ORI,+1,FC,Owerri Hub
AMARA,ENUGU,ENU,+1,FH,Enugu Hub
AMARAKU,IMO,ORI,+1,FB,Owerri Hub
AMASSOMA,BAYELSA,YEN,+2,FZ2,PH Hub
AMAWBIA,ANAMBRA,ONA,+2,FC,Onitsha Hub
AMBURSA,KEBBI,BKK,0,FC,
AMECHI AWKNANAW,ENUGU,ENU,+1,FD,Enugu Hub
AMIKE ORLU,IMO,ORI,+1,FC,Owerri Hub
AMMA GUNZE,ENUGU,ENU,+1,FE,Enugu Hub
AMMACHALLA,ENUGU,ENU,+1,FE,Enugu Hub
AMMUGWU,ENUGU,ENU,+1,FD,Enugu Hub
AMOKPO-NIKE,ENUGU,ENU,+1,FD,Enugu Hub
AMORKA,ANAMBRA,ONA,+2,FC,Onitsha Hub
AMPER,PLATEAU,JOS,+2,FZ2,Jos Hub
AMUCHA,IMO,ORI,+1,FC,Owerri Hub
AMUFIE,ENUGU,ENU,+1,FE,Enugu Hub
AMUKOKO,LAGOS,LOS,0,DIRECT,Lagos Hub
AMUWO,LAGOS,LOS,0,DIRECT,Lagos Hub
AMUZARI,IMO,ORI,+1,FC,Owerri Hub
ANAWBIO,ANAMBRA,ONA,+2,FD,Onitsha Hub
ANDAHA,NASARAWA,LAF,+1,FZ2,Abuja Hub
ANDONI,RIVERS,PHC,+2,FZ6,PH Hub
ANGLO JOS,PLATEAU,JOS,0,DIRECT,Jos Hub
ANGWAN ZARIA,NASARAWA,LAF,+1,FH,Abuja Hub
ANGWARE,PLATEAU,JOS,+1,FE,Jos Hub
ANINRI,ENUGU,ENU,+1,FH,Enugu Hub
ANKA,ZAMFARA,GUS,+1,FD,Gusau Hub
ANTHONY,LAGOS,LOS,0,DIRECT,Lagos Hub
ANWAI,DELTA,WRI,+1,FC,Warri Hub
ANYANGBA,KOGI,LKJ,+2,FE,
APANI,RIVERS,PHC,+1,FD,PH Hub
APAPA,LAGOS,LOS,0,DIRECT,Lagos Hub
APAYAN,KOGI,LKJ,+3,FZ5,
APOMU,OSUN,OSG,+1,FC,Osogbo Hub
APONMU,ONDO,AKR,+1,FB,Akure Hub
ARAMOKO-EKITI,ONDO,AKR,+3,FE,Akure Hub
ARAROMI OBU,ONDO,AKR,+3,FE,Akure Hub
ARDUKOLA,TARABA,JAL,+1,FC,
AREWA DANDI,KEBBI,BKK,+1,FZ3,
ARGUNGU,KEBBI,BKK,+1,FD,
ARIAM,ABIA,ABA,+1,FC,Aba Hub
ARIGIDI AKOKO,ONDO,AKR,+3,FE,Akure Hub
AROCHUKWU,ABIA,ABA,+2,FE,Aba Hub
ARONDIZUOGU,IMO,ORI,+2,FD,Owerri Hub
ASA OBEHI,ABIA,ABA,+1,FD,Aba Hub
ASABA,DELTA,WRI,0,DIRECT,Warri Hub
ASCON,LAGOS,LOS,0,FD,Lagos Hub
ASEJIRE,OYO,IBA,0,FB,Ibadan Hub
ASHAKA,GOMBE,GOM,+1,FH,Gombe Hub
ASKIRA UBA,BORNO,MIU,+1,FZ6,Maiduguri Hub
ASO ROCK,FCT,ABV,0,DIRECT,Abuja Hub
ASOKORO,FCT,ABV,0,DIRECT,Abuja Hub
ATAN,OGUN,ABK,+1,FC,Abeokuta Hub
ATANI,ANAMBRA,ONA,+2,FD,Onitsha Hub
ATLAS COVE,LAGOS,LAS,0,FC,Lagos Hub
ATTA,IMO,ORI,0,FB,Owerri Hub
ATTISSA CLAN,BAYELSA,YEN,+1,FE,PH Hub
AUCHI,EDO,BNI,+2,FE,Benin Hub
AVUTU,IMO,ORI,+1,FC,Owerri Hub
AWADA OBOSI,ANAMBRA,ONA,0,FB,Onitsha Hub
AWAK,GOMBE,GOM,+1,FD,Gombe Hub
AWE,NASARAWA,LAF,+1,FE,Abuja Hub
AWE,PLATEAU,JOS,+1,FD,Jos Hub
AWGU,ENUGU,ENU,+1,FE,Enugu Hub
AWKA,ANAMBRA,ONA,+1,DIRECT,Onitsha Hub
AWKA-ETITI,ANAMBRA,ONA,+2,FB,Onitsha Hub
AWKUZU,ANAMBRA,ONA,+1,FC,Onitsha Hub
AWO-IDEMILI,IMO,ORI,+1,FC,Owerri Hub
AWO-OMAMA,IMO,ORI,0,FC,Owerri Hub
AYABA,GOMBE,GOM,+2,FE,Gombe Hub
AYAMA,BAYELSA,YEN,+2,FZ11,PH Hub
AYETORO EGBADO,OGUN,ABK,+1,FD,Abeokuta Hub
AYETORO-GBEDE,KOGI,LKJ,+2,FE,
AZARE,BAUCHI,BAU,+1,FZ2,Bauchi Hub
AZUIYI OLOKO,ABIA,ABA,+1,FC,Aba Hub
AZUMINI,ABIA,ABA,+1,FD,Aba Hub
AZUMINI ADOKO,ABIA,ABA,+1,FD,Aba Hub
BABALONMA,KWARA,ILR,+2,FZ6,Ilorin Hub
BABAM-BAM,GOMBE,GOM,+2,FM,Gombe Hub
BABANGIDA,YOBE,DAM,+1,FD,
BABARUGA,KATSINA,KAS,+1,FC,Kano Hub
BABURA,JIGAWA,DUT,+1,FC,Kano Hub
BACITA,KWARA,ILR,+1,FE,Ilorin Hub
BADAGRY EXPRESS,LAGOS,LOS,0,DIRECT,Lagos Hub
BADAGRY TOWN,LAGOS,LOS,0,FD,Lagos Hub
"BADEGGI, NCRI",NIGER,MNA,+1,FE,Minna Hub
BADIKO,KADUNA,KAD,0,DIRECT,Kaduna Hub
BADORE,LAGOS,LAS,0,FC,Lagos Hub
BADUME,KANO,KAN,+1,FC,Kano Hub
BAGA,BORNO,MIU,+1,FH,Maiduguri Hub
BAGANJE,GOMBE,GOM,+1,FF,Gombe Hub
BAGAUDA,KANO,KAN,+1,FB,Kano Hub
BAGUDU,KEBBI,BKK,+2,FZ3,
BAISSA/KURMI,TARABA,JAL,+3,FR,
BAJOGA,GOMBE,GOM,+2,FE,Gombe Hub
BAKASSI,CROSS RIVER,CBQ,+2,FJ,Calabar Hub
BAKORI,KATSINA,KAS,+1,FF,Kano Hub
BAKURA,ZAMFARA,GUS,+1,FD,Gusau Hub
BAKWARRA,CROSS RIVER,CBQ,+2,FZ5,Calabar Hub
BALANGA,GOMBE,GOM,+2,FM,Gombe Hub
BALI,TARABA,JAL,+2,FH,
BALOGUN MARKET,LAGOS,LAS,0,DIRECT,Lagos Hub
BAM BUR ,TARABA,JAL,+3,FZ10,
BAMA,BORNO,MIU,+1,FE,Maiduguri Hub
BANKI,BORNO,MIU,+1,FH,Maiduguri Hub
BARA,YOBE,DAM,+2,FZ5,
BARDAWA,KADUNA,KAD,0,DIRECT,Kaduna Hub
BARIGA,LAGOS,LOS,0,DIRECT,Lagos Hub
BARIKIN LADI,PLATEAU,JOS,+1,FD,Jos Hub
BARNAWA,KADUNA,KAD,0,DIRECT,Kaduna Hub
BASA,NASARAWA,LAF,+1,FH,Abuja Hub
BASAWA,KADUNA,KAD,+1,FA,Kaduna Hub
BASSA,PLATEAU,JOS,+1,FD,Jos Hub
BATAGARAWA,KATSINA,KAS,0,FC,Kano Hub
BATSARI,KATSINA,KAS,+1,FD,Kano Hub
BAUCHI,BAUCHI,BAU,0,DIRECT,Bauchi Hub
BAURE,KATSINA,KAS,+1,FE,Kano Hub
BAYARA,BAUCHI,BAU,0,FB,Bauchi Hub
BAYO,BORNO,MIU,+1,FZ5,Maiduguri Hub
BEJI,NIGER,MNA,+1,FC,Minna Hub
BELE,ADAMAWA,YOL,+1,FE,Yola Hub
BENDE,ABIA,ABA,+1,FD,Aba Hub
BENIN-CITY,EDO,BNI,0,DIRECT,Benin Hub
BIASE,CROSS RIVER,CBQ,+1,FD,Calabar Hub
BICHI,KANO,KAN,+1,FA,Kano Hub
BIDA,NIGER,MNA,+1,FE,Minna Hub
BILLIRI,GOMBE,GOM,+1,FE,Gombe Hub
BINCHI,PLATEAU,JOS,+1,FD,Jos Hub
BINDAWA,KATSINA,KAS,+1,FE,Kano Hub
BINJI,SOKOTO,SKO,+2,FE,Sokoto Hub
BIRNI GWARI,KADUNA,KAD,+1,FH,Kaduna Hub
